X,pre1,pre2,level,post
~X|~D^W-~V,[-[|[~X][^[~D]W]][~V]],- | ~ X ^ ~ D W ~ V ,- | ~ ~ ^ V ? X ? ~ W ? ? ? ? ? ? D ? ? ? ? ? ? ,X ~ D ~ W ^ | V ~ - 
A-I|~R-~N,[-A[-[|I[~R]][~N]]],- A - | I ~ R ~ N ,- A - ? ? | ~ ? ? I ~ N ? ? ? ? ? R ? ? ? ? ,A I R ~ | N ~ - - 
~M-~Q|~V,[-[~M][|[~Q][~V]]],- ~ M | ~ Q ~ V ,- ~ | M ? ~ ~ ? ? ? Q ? V ? ,M ~ Q ~ V ~ | - 
K^~O-~V-~D,[-[^K[~O]][-[~V][~D]]],- ^ K ~ O - ~ V ~ D ,- ^ - K ~ ~ ~ ? ? O ? V ? D ? ,K O ~ ^ V ~ D ~ - - 
~S^~Q|U^~O|~K,[|[|[^[~S][~Q]][^U[~O]]][~K]],| | ^ ~ S ~ Q ^ U ~ O ~ K ,| | ~ ^ ^ K ? ~ ~ U ~ ? ? ? S ? Q ? ? ? O ? ? ? ? ,S ~ Q ~ ^ U O ~ ^ | K ~ | 
L|K^Q^K|~Q,[|[|L[^[^KQ]K]][~Q]],| | L ^ ^ K Q K ~ Q ,| | ~ L ^ Q ? ? ? ^ K ? ? ? ? ? K Q ? ? ? ? ? ,L K Q ^ K ^ | Q ~ | 
P|~B^~F,[|P[^[~B][~F]]],| P ^ ~ B ~ F ,| P ^ ? ? ~ ~ ? ? B ? F ? ,P B ~ F ~ ^ | 
~C|~Q-~P,[-[|[~C][~Q]][~P]],- | ~ C ~ Q ~ P ,- | ~ ~ ~ P ? C ? Q ? ? ? ? ,C ~ Q ~ | P ~ - 
N|R-E,[-[|NR]E],- | N R E ,- | E N R ? ? ,N R | E - 
G|X^Z,[|G[^XZ]],| G ^ X Z ,| G ^ ? ? X Z ,G X Z ^ | 
L-M^I|Z,[-L[|[^MI]Z]],- L | ^ M I Z ,- L | ? ? ^ Z ? ? M I ? ? ,L M I ^ Z | - 
~S^N-O,[-[^[~S]N]O],- ^ ~ S N O ,- ^ O ~ N ? ? S ? ? ? ? ? ,S ~ N ^ O - 
~J|D|I|W,[|[|[|[~J]D]I]W],| | | ~ J D I W ,| | W | I ? ? ~ D ? ? ? ? J ? ? ? ? ? ? ? ,J ~ D | I | W | 
~Q^E|W-Q,[-[|[^[~Q]E]W]Q],- | ^ ~ Q E W Q ,- | Q ^ W ? ? ~ E ? ? ? ? Q ? ? ? ? ? ? ? ,Q ~ E ^ W | Q - 
N^M-I-~Q,[-[^NM][-I[~Q]]],- ^ N M - I ~ Q ,- ^ - N M I ~ ? ? ? ? ? ? Q ? ,N M ^ I Q ~ - - 
~O-V|U^P-K,[-[~O][-[|V[^UP]]K]],- ~ O - | V ^ U P K ,- ~ - O ? | K ? ? ? V ^ ? ? ? ? ? ? ? U P ? ? ,O ~ V U P ^ | K - - 
D-K-~C^~Y-~Z,[-D[-K[-[^[~C][~Y]][~Z]]]],- D - K - ^ ~ C ~ Y ~ Z ,- D - ? ? K - ? ? ? ? ^ ~ ? ? ? ? ~ ~ Z ? ? ? ? ? C ? Y ? ? ? ? ,D K C ~ Y ~ ^ Z ~ - - - 
~B^B^H-I,[-[^[^[~B]B]H]I],- ^ ^ ~ B B H I ,- ^ I ^ H ? ? ~ B ? ? ? ? B ? ? ? ? ? ? ? ,B ~ B ^ H ^ I - 
E-R-~J,[-E[-R[~J]]],- E - R ~ J ,- E - ? ? R ~ ? ? ? ? J ? ,E R J ~ - - 
~V^W^~B,[^[^[~V]W][~B]],^ ^ ~ V W ~ B ,^ ^ ~ ~ W B ? V ? ? ? ? ? ? ,V ~ W ^ B ~ ^ 
~L-~Z|L-V-Y,[-[~L][-[|[~Z]L][-VY]]],- ~ L - | ~ Z L - V Y ,- ~ - L ? | - ? ? ? ~ L V Y ? ? ? Z ? ? ? ? ? ? ? ,L ~ Z ~ L | V Y - - - 
~Z|~K|~J-~Q-~L,[-[|[|[~Z][~K]][~J]][-[~Q][~L]]],- | | ~ Z ~ K ~ J - ~ Q ~ L ,- | - | ~ ~ ~ ~ ~ J ? Q ? L ? Z ? K ? ? ? ? ? ? ? ? ? ? ,Z ~ K ~ | J ~ | Q ~ L ~ - - 
F|~N^H,[|F[^[~N]H]],| F ^ ~ N H ,| F ^ ? ? ~ H ? ? N ? ? ? ,F N ~ H ^ | 
~B^~H^~I-T|~I,[-[^[^[~B][~H]][~I]][|T[~I]]],- ^ ^ ~ B ~ H ~ I | T ~ I ,- ^ | ^ ~ T ~ ~ ~ I ? ? ? I ? B ? H ? ? ? ? ? ? ? ? ? ,B ~ H ~ ^ I ~ ^ T I ~ | - 
~Z-~V^V|~T|~K,[-[~Z][|[|[^[~V]V][~T]][~K]]],- ~ Z | | ^ ~ V V ~ T ~ K ,- ~ | Z ? | ~ ? ? ? ^ ~ K ? ? ? ? ~ V T ? ? ? ? ? ? ? V ? ? ? ? ? ? ? ? ? ,Z ~ V ~ V ^ T ~ | K ~ | - 
F^~E-~F-M,[-[^F[~E]][-[~F]M]],- ^ F ~ E - ~ F M ,- ^ - F ~ ~ M ? ? E ? F ? ? ? ,F E ~ ^ F ~ M - - 
W^~F-~O^~I-R,[-[^W[~F]][-[^[~O][~I]]R]],- ^ W ~ F - ^ ~ O ~ I R ,- ^ - W ~ ^ R ? ? F ? ~ ~ ? ? ? ? ? ? ? O ? I ? ? ? ,W F ~ ^ O ~ I ~ ^ R - - 
~X-~T^Y,[-[~X][^[~T]Y]],- ~ X ^ ~ T Y ,- ~ ^ X ? ~ Y ? ? ? T ? ? ? ,X ~ T ~ Y ^ - 
O-H|I^~J,[-O[|H[^I[~J]]]],- O | H ^ I ~ J ,- O | ? ? H ^ ? ? ? ? I ~ ? ? ? ? ? ? J ? ,O H I J ~ ^ | - 
~V|~X|~W|~R,[|[|[|[~V][~X]][~W]][~R]],| | | ~ V ~ X ~ W ~ R ,| | ~ | ~ R ? ~ ~ W ? ? ? ? V ? X ? ? ? ? ? ? ? ,V ~ X ~ | W ~ | R ~ | 
~I^~A-J|~D,[-[^[~I][~A]][|J[~D]]],- ^ ~ I ~ A | J ~ D ,- ^ | ~ ~ J ~ I ? A ? ? ? D ? ,I ~ A ~ ^ J D ~ | - 
~D^E^C,[^[^[~D]E]C],^ ^ ~ D E C ,^ ^ C ~ E ? ? D ? ? ? ? ? ,D ~ E ^ C ^ 
Z|~W-I^N,[-[|Z[~W]][^IN]],- | Z ~ W ^ I N ,- | ^ Z ~ I N ? ? W ? ? ? ? ? ,Z W ~ | I N ^ - 
S|V-E|~C,[-[|SV][|E[~C]]],- | S V | E ~ C ,- | | S V E ~ ? ? ? ? ? ? C ? ,S V | E C ~ | - 
P^O^S|M,[|[^[^PO]S]M],| ^ ^ P O S M ,| ^ M ^ S ? ? P O ? ? ? ? ,P O ^ S ^ M | 
W-P|I|W,[-W[|[|PI]W]],- W | | P I W ,- W | ? ? | W ? ? P I ? ? ,W P I | W | - 
~J|~E|F,[|[|[~J][~E]]F],| | ~ J ~ E F ,| | F ~ ~ ? ? J ? E ? ? ? ,J ~ E ~ | F | 
~Q-~S^~G,[-[~Q][^[~S][~G]]],- ~ Q ^ ~ S ~ G ,- ~ ^ Q ? ~ ~ ? ? ? S ? G ? ,Q ~ S ~ G ~ ^ - 
I-~T^C^~V,[-I[^[^[~T]C][~V]]],- I ^ ^ ~ T C ~ V ,- I ^ ? ? ^ ~ ? ? ~ C V ? ? ? T ? ? ? ? ? ? ,I T ~ C ^ V ~ ^ - 
~K-~X^X|P,[-[~K][|[^[~X]X]P]],- ~ K | ^ ~ X X P ,- ~ | K ? ^ P ? ? ? ~ X ? ? ? ? ? X ? ? ? ? ? ,K ~ X ~ X ^ P | - 
I^~O|~F,[|[^I[~O]][~F]],| ^ I ~ O ~ F ,| ^ ~ I ~ F ? ? ? O ? ? ? ? ,I O ~ ^ F ~ | 
~W|Q|~Y|~E-~S,[-[|[|[|[~W]Q][~Y]][~E]][~S]],- | | | ~ W Q ~ Y ~ E ~ S ,- | ~ | ~ S ? | ~ E ? ? ? ? ~ Q Y ? ? ? ? ? ? ? W ? ? ? ? ? ? ? ? ? ? ? ? ,W ~ Q | Y ~ | E ~ | S ~ - 
J^~P|~X,[|[^J[~P]][~X]],| ^ J ~ P ~ X ,| ^ ~ J ~ X ? ? ? P ? ? ? ? ,J P ~ ^ X ~ | 
~F^~T|~X-~A^~E,[-[|[^[~F][~T]][~X]][^[~A][~E]]],- | ^ ~ F ~ T ~ X ^ ~ A ~ E ,- | ^ ^ ~ ~ ~ ~ ~ X ? A ? E ? F ? T ? ? ? ? ? ? ? ? ? ? ,F ~ T ~ ^ X ~ | A ~ E ~ ^ - 
O^E-A,[-[^OE]A],- ^ O E A ,- ^ A O E ? ? ,O E ^ A - 
~U^~T^L-~R|~D,[-[^[^[~U][~T]]L][|[~R][~D]]],- ^ ^ ~ U ~ T L | ~ R ~ D ,- ^ | ^ L ~ ~ ~ ~ ? ? R ? D ? U ? T ? ? ? ? ? ? ? ? ? ,U ~ T ~ ^ L ^ R ~ D ~ | - 
H-~J|T^F,[-H[|[~J][^TF]]],- H | ~ J ^ T F ,- H | ? ? ~ ^ ? ? J ? T F ,H J ~ T F ^ | - 
M^S|~U,[|[^MS][~U]],| ^ M S ~ U ,| ^ ~ M S U ? ,M S ^ U ~ | 
~R-Z^~K|B-~T,[-[~R][-[|[^Z[~K]]B][~T]]],- ~ R - | ^ Z ~ K B ~ T ,- ~ - R ? | ~ ? ? ? ^ B T ? ? ? ? Z ~ ? ? ? ? ? ? ? ? ? ? K ? ? ? ? ? ? ,R ~ Z K ~ ^ B | T ~ - - 
~H-~H^~B,[-[~H][^[~H][~B]]],- ~ H ^ ~ H ~ B ,- ~ ^ H ? ~ ~ ? ? ? H ? B ? ,H ~ H ~ B ~ ^ - 
Y-P-~Q,[-Y[-P[~Q]]],- Y - P ~ Q ,- Y - ? ? P ~ ? ? ? ? Q ? ,Y P Q ~ - - 
K-~R-~L|~O-~Z,[-K[-[~R][-[|[~L][~O]][~Z]]]],- K - ~ R - | ~ L ~ O ~ Z ,- K - ? ? ~ - ? ? R ? | ~ ? ? ? ? ? ~ ~ Z ? ? ? ? ? ? L ? O ? ? ? ? ,K R ~ L ~ O ~ | Z ~ - - - 
H|~Y|~S-C|S,[-[|[|H[~Y]][~S]][|CS]],- | | H ~ Y ~ S | C S ,- | | | ~ C S H ~ S ? ? ? ? ? ? ? Y ? ? ? ? ? ? ? ? ,H Y ~ | S ~ | C S | - 
~O^D|B^~K|V,[|[|[^[~O]D][^B[~K]]]V],| | ^ ~ O D ^ B ~ K V ,| | V ^ ^ ? ? ~ D B ~ ? ? O ? ? ? ? ? K ? ? ? ,O ~ D ^ B K ~ ^ | V | 
V^~F|~N,[|[^V[~F]][~N]],| ^ V ~ F ~ N ,| ^ ~ V ~ N ? ? ? F ? ? ? ? ,V F ~ ^ N ~ | 
H|N|C^~T,[|[|HN][^C[~T]]],| | H N ^ C ~ T ,| | ^ H N C ~ ? ? ? ? ? ? T ? ,H N | C T ~ ^ | 
~A|H|F|G,[|[|[|[~A]H]F]G],| | | ~ A H F G ,| | G | F ? ? ~ H ? ? ? ? A ? ? ? ? ? ? ? ,A ~ H | F | G | 
L-~Y|~C^~X|S,[-L[|[|[~Y][^[~C][~X]]]S]],- L | | ~ Y ^ ~ C ~ X S ,- L | ? ? | S ? ? ~ ^ ? ? ? ? Y ? ~ ~ ? ? ? ? ? ? ? C ? X ? ? ? ,L Y ~ C ~ X ~ ^ | S | - 
~R^C-~J-L|~P,[-[^[~R]C][-[~J][|L[~P]]]],- ^ ~ R C - ~ J | L ~ P ,- ^ - ~ C ~ | R ? ? ? J ? L ~ ? ? ? ? ? ? ? ? ? ? P ? ,R ~ C ^ J ~ L P ~ | - - 
M-~C^~C^~C^T,[-M[^[^[^[~C][~C]][~C]]T]],- M ^ ^ ^ ~ C ~ C ~ C T ,- M ^ ? ? ^ T ? ? ^ ~ ? ? ? ? ~ ~ C ? ? ? ? ? C ? C ? ? ? ? ? ? ,M C ~ C ~ ^ C ~ ^ T ^ - 
~W|E|X|~X-~R,[-[|[|[|[~W]E]X][~X]][~R]],- | | | ~ W E X ~ X ~ R ,- | ~ | ~ R ? | X X ? ? ? ? ~ E ? ? ? ? ? ? ? ? W ? ? ? ? ? ? ? ? ? ? ? ,W ~ E | X | X ~ | R ~ - 
~H|~S^~K,[|[~H][^[~S][~K]]],| ~ H ^ ~ S ~ K ,| ~ ^ H ? ~ ~ ? ? ? S ? K ? ,H ~ S ~ K ~ ^ | 
~I-~W|S^~X,[-[~I][|[~W][^S[~X]]]],- ~ I | ~ W ^ S ~ X ,- ~ | I ? ~ ^ ? ? ? W ? S ~ ? ? ? ? ? ? ? ? X ? ,I ~ W ~ S X ~ ^ | - 
D|U-D,[-[|DU]D],- | D U D ,- | D D U ? ? ,D U | D - 
P^E^K-X,[-[^[^PE]K]X],- ^ ^ P E K X ,- ^ X ^ K ? ? P E ? ? ? ? ,P E ^ K ^ X - 
D|~C-~K-~Z,[-[|D[~C]][-[~K][~Z]]],- | D ~ C - ~ K ~ Z ,- | - D ~ ~ ~ ? ? C ? K ? Z ? ,D C ~ | K ~ Z ~ - - 
S^Q|~M,[|[^SQ][~M]],| ^ S Q ~ M ,| ^ ~ S Q M ? ,S Q ^ M ~ | 
~K|Q|W-~A,[-[|[|[~K]Q]W][~A]],- | | ~ K Q W ~ A ,- | ~ | W A ? ~ Q ? ? ? ? ? K ? ? ? ? ? ? ? ? ,K ~ Q | W | A ~ - 
~Y^~V-~Q,[-[^[~Y][~V]][~Q]],- ^ ~ Y ~ V ~ Q ,- ^ ~ ~ ~ Q ? Y ? V ? ? ? ? ,Y ~ V ~ ^ Q ~ - 
W^E|~N,[|[^WE][~N]],| ^ W E ~ N ,| ^ ~ W E N ? ,W E ^ N ~ | 
~Z^V|~S|~M|D,[|[|[|[^[~Z]V][~S]][~M]]D],| | | ^ ~ Z V ~ S ~ M D ,| | D | ~ ? ? ^ ~ M ? ? ? ~ V S ? ? ? ? ? ? Z ? ? ? ? ? ? ? ? ? ? ? ,Z ~ V ^ S ~ | M ~ | D | 
~U-Z|W,[-[~U][|ZW]],- ~ U | Z W ,- ~ | U ? Z W ,U ~ Z W | - 
~L-~E^F-~L^D,[-[~L][-[^[~E]F][^[~L]D]]],- ~ L - ^ ~ E F ^ ~ L D ,- ~ - L ? ^ ^ ? ? ? ~ F ~ D ? ? ? E ? ? ? L ? ? ? ,L ~ E ~ F ^ L ~ D ^ - - 
W-~L^~Y,[-W[^[~L][~Y]]],- W ^ ~ L ~ Y ,- W ^ ? ? ~ ~ ? ? L ? Y ? ,W L ~ Y ~ ^ - 
~R-Y^~U|N^F,[-[~R][|[^Y[~U]][^NF]]],- ~ R | ^ Y ~ U ^ N F ,- ~ | R ? ^ ^ ? ? ? Y ~ N F ? ? ? ? ? U ? ? ? ? ? ,R ~ Y U ~ ^ N F ^ | - 
L|T-N,[-[|LT]N],- | L T N ,- | N L T ? ? ,L T | N - 
I^~L-~P^~I,[-[^I[~L]][^[~P][~I]]],- ^ I ~ L ^ ~ P ~ I ,- ^ ^ I ~ ~ ~ ? ? L ? P ? I ? ,I L ~ ^ P ~ I ~ ^ - 
C-K^~X,[-C[^K[~X]]],- C ^ K ~ X ,- C ^ ? ? K ~ ? ? ? ? X ? ,C K X ~ ^ - 
I|~U-~T^A-S,[-[|I[~U]][-[^[~T]A]S]],- | I ~ U - ^ ~ T A S ,- | - I ~ ^ S ? ? U ? ~ A ? ? ? ? ? ? ? T ? ? ? ? ? ,I U ~ | T ~ A ^ S - - 
~C|~G^P,[|[~C][^[~G]P]],| ~ C ^ ~ G P ,| ~ ^ C ? ~ P ? ? ? G ? ? ? ,C ~ G ~ P ^ | 
~T^E^Y|~R^M,[|[^[^[~T]E]Y][^[~R]M]],| ^ ^ ~ T E Y ^ ~ R M ,| ^ ^ ^ Y ~ M ~ E ? ? R ? ? ? T ? ? ? ? ? ? ? ? ? ? ,T ~ E ^ Y ^ R ~ M ^ | 
~J-~G^~A,[-[~J][^[~G][~A]]],- ~ J ^ ~ G ~ A ,- ~ ^ J ? ~ ~ ? ? ? G ? A ? ,J ~ G ~ A ~ ^ - 
T^~U-~J,[-[^T[~U]][~J]],- ^ T ~ U ~ J ,- ^ ~ T ~ J ? ? ? U ? ? ? ? ,T U ~ ^ J ~ - 
~V|~P^J|~V-S,[-[|[|[~V][^[~P]J]][~V]]S],- | | ~ V ^ ~ P J ~ V S ,- | S | ~ ? ? ~ ^ V ? ? ? V ? ~ J ? ? ? ? ? ? ? ? P ? ? ? ? ? ? ? ? ,V ~ P ~ J ^ | V ~ | S - 
K^I|R,[|[^KI]R],| ^ K I R ,| ^ R K I ? ? ,K I ^ R | 
~A|~P|~P-~U^~M,[-[|[|[~A][~P]][~P]][^[~U][~M]]],- | | ~ A ~ P ~ P ^ ~ U ~ M ,- | ^ | ~ ~ ~ ~ ~ P ? U ? M ? A ? P ? ? ? ? ? ? ? ? ? ? ,A ~ P ~ | P ~ | U ~ M ~ ^ - 
Q^~G^~L,[^[^Q[~G]][~L]],^ ^ Q ~ G ~ L ,^ ^ ~ Q ~ L ? ? ? G ? ? ? ? ,Q G ~ ^ L ~ ^ 
M^L-O-~E-~J,[-[^ML][-O[-[~E][~J]]]],- ^ M L - O - ~ E ~ J ,- ^ - M L O - ? ? ? ? ? ? ~ ~ ? ? ? ? ? ? E ? J ? ,M L ^ O E ~ J ~ - - - 
~E^~H^~E,[^[^[~E][~H]][~E]],^ ^ ~ E ~ H ~ E ,^ ^ ~ ~ ~ E ? E ? H ? ? ? ? ,E ~ H ~ ^ E ~ ^ 
O-~V^~J|C-L,[-O[-[|[^[~V][~J]]C]L]],- O - | ^ ~ V ~ J C L ,- O - ? ? | L ? ? ^ C ? ? ? ? ~ ~ ? ? ? ? ? ? V ? J ? ? ? ? ? ,O V ~ J ~ ^ C | L - - 
~W-Z^~F|X,[-[~W][|[^Z[~F]]X]],- ~ W | ^ Z ~ F X ,- ~ | W ? ^ X ? ? ? Z ~ ? ? ? ? ? ? ? F ? ? ? ,W ~ Z F ~ ^ X | - 
~G^~H-W,[-[^[~G][~H]]W],- ^ ~ G ~ H W ,- ^ W ~ ~ ? ? G ? H ? ? ? ,G ~ H ~ ^ W - 
~R-K-~I-B,[-[~R][-K[-[~I]B]]],- ~ R - K - ~ I B ,- ~ - R ? K - ? ? ? ? ? ~ B ? ? ? ? ? I ? ? ? ,R ~ K I ~ B - - - 
~U|N^~Z|~Q,[|[|[~U][^N[~Z]]][~Q]],| | ~ U ^ N ~ Z ~ Q ,| | ~ ~ ^ Q ? U ? N ~ ? ? ? ? ? ? ? ? Z ? ? ? ? ,U ~ N Z ~ ^ | Q ~ | 
Z^G-L^~G^V,[-[^ZG][^[^L[~G]]V]],- ^ Z G ^ ^ L ~ G V ,- ^ ^ Z G ^ V ? ? ? ? L ~ ? ? ? ? ? ? ? ? G ? ? ? ,Z G ^ L G ~ ^ V ^ - 
X^L|A-L,[-[|[^XL]A]L],- | ^ X L A L ,- | L ^ A ? ? X L ? ? ? ? ,X L ^ A | L - 
F^P|P-~G,[-[|[^FP]P][~G]],- | ^ F P P ~ G ,- | ~ ^ P G ? F P ? ? ? ? ? ,F P ^ P | G ~ - 
~P|N-J-~T,[-[|[~P]N][-J[~T]]],- | ~ P N - J ~ T ,- | - ~ N J ~ P ? ? ? ? ? T ? ,P ~ N | J T ~ - - 
~I|S|L|H,[|[|[|[~I]S]L]H],| | | ~ I S L H ,| | H | L ? ? ~ S ? ? ? ? I ? ? ? ? ? ? ? ,I ~ S | L | H | 
L|~M-S^T,[-[|L[~M]][^ST]],- | L ~ M ^ S T ,- | ^ L ~ S T ? ? M ? ? ? ? ? ,L M ~ | S T ^ - 
~U|~O-~U,[-[|[~U][~O]][~U]],- | ~ U ~ O ~ U ,- | ~ ~ ~ U ? U ? O ? ? ? ? ,U ~ O ~ | U ~ - 
~P-C^~E,[-[~P][^C[~E]]],- ~ P ^ C ~ E ,- ~ ^ P ? C ~ ? ? ? ? ? E ? ,P ~ C E ~ ^ - 
~N-~K^M-F,[-[~N][-[^[~K]M]F]],- ~ N - ^ ~ K M F ,- ~ - N ? ^ F ? ? ? ~ M ? ? ? ? ? K ? ? ? ? ? ,N ~ K ~ M ^ F - - 
W-~R^~Q-~Q,[-W[-[^[~R][~Q]][~Q]]],- W - ^ ~ R ~ Q ~ Q ,- W - ? ? ^ ~ ? ? ~ ~ Q ? ? ? R ? Q ? ? ? ? ,W R ~ Q ~ ^ Q ~ - - 
B-U|~U,[-B[|U[~U]]],- B | U ~ U ,- B | ? ? U ~ ? ? ? ? U ? ,B U U ~ | - 
V-A-A^J,[-V[-A[^AJ]]],#NAME?,- V - ? ? A ^ ? ? ? ? A J ,V A A J ^ - - 
~E-P^~P|~V,[-[~E][|[^P[~P]][~V]]],- ~ E | ^ P ~ P ~ V ,- ~ | E ? ^ ~ ? ? ? P ~ V ? ? ? ? ? ? P ? ? ? ? ,E ~ P P ~ ^ V ~ | - 
~A^~W|~K,[|[^[~A][~W]][~K]],| ^ ~ A ~ W ~ K ,| ^ ~ ~ ~ K ? A ? W ? ? ? ? ,A ~ W ~ ^ K ~ | 
R^J|~F|~N,[|[|[^RJ][~F]][~N]],| | ^ R J ~ F ~ N ,| | ~ ^ ~ N ? R J F ? ? ? ? ,R J ^ F ~ | N ~ | 
~Q|B-~C-~Z|G,[-[|[~Q]B][-[~C][|[~Z]G]]],- | ~ Q B - ~ C | ~ Z G ,- | - ~ B ~ | Q ? ? ? C ? ~ G ? ? ? ? ? ? ? ? Z ? ? ? ,Q ~ B | C ~ Z ~ G | - - 
~F-~H-N|~I|T,[-[~F][-[~H][|[|N[~I]]T]]],- ~ F - ~ H | | N ~ I T ,- ~ - F ? ~ | ? ? ? H ? | T ? ? ? ? ? ? N ~ ? ? ? ? ? ? ? ? ? ? I ? ? ? ,F ~ H ~ N I ~ | T | - - 
P^D-F|Z,[-[^PD][|FZ]],- ^ P D | F Z ,- ^ | P D F Z ,P D ^ F Z | - 
I-G|R,[-I[|GR]],- I | G R ,- I | ? ? G R ,I G R | - 
M-~A|~M,[-M[|[~A][~M]]],- M | ~ A ~ M ,- M | ? ? ~ ~ ? ? A ? M ? ,M A ~ M ~ | - 
~W^C|~X,[|[^[~W]C][~X]],| ^ ~ W C ~ X ,| ^ ~ ~ C X ? W ? ? ? ? ? ? ,W ~ C ^ X ~ | 
~K|~K-Q^Y,[-[|[~K][~K]][^QY]],- | ~ K ~ K ^ Q Y ,- | ^ ~ ~ Q Y K ? K ? ? ? ? ? ,K ~ K ~ | Q Y ^ - 
C|~L|J,[|[|C[~L]]J],| | C ~ L J ,| | J C ~ ? ? ? ? L ? ? ? ,C L ~ | J | 
~P-U|~J-~G-~D,[-[~P][-[|U[~J]][-[~G][~D]]]],- ~ P - | U ~ J - ~ G ~ D ,- ~ - P ? | - ? ? ? U ~ ~ ~ ? ? ? ? ? J ? G ? D ? ,P ~ U J ~ | G ~ D ~ - - - 
~Q-~X^~Z^A^C,[-[~Q][^[^[^[~X][~Z]]A]C]],- ~ Q ^ ^ ^ ~ X ~ Z A C ,- ~ ^ Q ? ^ C ? ? ? ^ A ? ? ? ? ? ~ ~ ? ? ? ? ? ? ? X ? Z ? ? ? ? ? ,Q ~ X ~ Z ~ ^ A ^ C ^ - 
X^~A^~X-G,[-[^[^X[~A]][~X]]G],- ^ ^ X ~ A ~ X G ,- ^ G ^ ~ ? ? X ~ X ? ? ? ? ? A ? ? ? ? ? ? ,X A ~ ^ X ~ ^ G - 
R^T-L-~A|~O,[-[^RT][-L[|[~A][~O]]]],- ^ R T - L | ~ A ~ O ,- ^ - R T L | ? ? ? ? ? ? ~ ~ ? ? ? ? ? ? A ? O ? ,R T ^ L A ~ O ~ | - - 
S|D|W,[|[|SD]W],| | S D W ,| | W S D ? ? ,S D | W | 
~L^B^~A,[^[^[~L]B][~A]],^ ^ ~ L B ~ A ,^ ^ ~ ~ B A ? L ? ? ? ? ? ? ,L ~ B ^ A ~ ^ 
~X-~L|E,[-[~X][|[~L]E]],- ~ X | ~ L E ,- ~ | X ? ~ E ? ? ? L ? ? ? ,X ~ L ~ E | - 
G^V-E|K,[-[^GV][|EK]],- ^ G V | E K ,- ^ | G V E K ,G V ^ E K | - 
~W^~H^O,[^[^[~W][~H]]O],^ ^ ~ W ~ H O ,^ ^ O ~ ~ ? ? W ? H ? ? ? ,W ~ H ~ ^ O ^ 
O-~P|~H,[-O[|[~P][~H]]],- O | ~ P ~ H ,- O | ? ? ~ ~ ? ? P ? H ? ,O P ~ H ~ | - 
Y^~B-G^~L^~C,[-[^Y[~B]][^[^G[~L]][~C]]],- ^ Y ~ B ^ ^ G ~ L ~ C ,- ^ ^ Y ~ ^ ~ ? ? B ? G ~ C ? ? ? ? ? ? ? ? L ? ? ? ? ,Y B ~ ^ G L ~ ^ C ~ ^ - 
~V^~Y|L-X,[-[|[^[~V][~Y]]L]X],- | ^ ~ V ~ Y L X ,- | X ^ L ? ? ~ ~ ? ? ? ? V ? Y ? ? ? ? ? ,V ~ Y ~ ^ L | X - 
~B|D^~S,[|[~B][^D[~S]]],| ~ B ^ D ~ S ,| ~ ^ B ? D ~ ? ? ? ? ? S ? ,B ~ D S ~ ^ | 
L^D^I-R^M,[-[^[^LD]I][^RM]],- ^ ^ L D I ^ R M ,- ^ ^ ^ I R M L D ? ? ? ? ? ? ,L D ^ I ^ R M ^ - 
B^~J^I-~J|I,[-[^[^B[~J]]I][|[~J]I]],- ^ ^ B ~ J I | ~ J I ,- ^ | ^ I ~ I B ~ ? ? J ? ? ? ? ? J ? ? ? ? ? ? ? ? ,B J ~ ^ I ^ J ~ I | - 
I|S-O^~X,[-[|IS][^O[~X]]],- | I S ^ O ~ X ,- | ^ I S O ~ ? ? ? ? ? ? X ? ,I S | O X ~ ^ - 
~H^~I|~K^~C,[|[^[~H][~I]][^[~K][~C]]],| ^ ~ H ~ I ^ ~ K ~ C ,| ^ ^ ~ ~ ~ ~ H ? I ? K ? C ? ,H ~ I ~ ^ K ~ C ~ ^ | 
Q|~P|~I,[|[|Q[~P]][~I]],| | Q ~ P ~ I ,| | ~ Q ~ I ? ? ? P ? ? ? ? ,Q P ~ | I ~ | 
U-P^~X,[-U[^P[~X]]],- U ^ P ~ X ,- U ^ ? ? P ~ ? ? ? ? X ? ,U P X ~ ^ - 
B^Z-~S|P,[-[^BZ][|[~S]P]],- ^ B Z | ~ S P ,- ^ | B Z ~ P ? ? ? ? S ? ? ? ,B Z ^ S ~ P | - 
I|~R-~M,[-[|I[~R]][~M]],- | I ~ R ~ M ,- | ~ I ~ M ? ? ? R ? ? ? ? ,I R ~ | M ~ - 
~G^~X-X|S-~F,[-[^[~G][~X]][-[|XS][~F]]],- ^ ~ G ~ X - | X S ~ F ,- ^ - ~ ~ | ~ G ? X ? X S F ? ,G ~ X ~ ^ X S | F ~ - - 
~R^X|~G^S,[|[^[~R]X][^[~G]S]],| ^ ~ R X ^ ~ G S ,| ^ ^ ~ X ~ S R ? ? ? G ? ? ? ,R ~ X ^ G ~ S ^ | 
B|J^~A,[|B[^J[~A]]],| B ^ J ~ A ,| B ^ ? ? J ~ ? ? ? ? A ? ,B J A ~ ^ | 
M-B|~M-~V|~I,[-M[-[|B[~M]][|[~V][~I]]]],- M - | B ~ M | ~ V ~ I ,- M - ? ? | | ? ? B ~ ~ ~ ? ? ? ? M ? V ? I ? ,M B M ~ | V ~ I ~ | - - 
